element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""330.5562""","=""""","=""330.55624+""","=""320""","=""1.74e+07""",B+,"=""10768.332""","=""41011.664""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",5,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""330.5911""","=""""","=""330.59117+""","=""130""","=""3.06e+07""",B,"=""21618.630""","=""51858.766""","=""4d5.(4D).5s""","=""a 3D""","=""3""","=""""","=""47*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""330.7125""","=""""","=""330.71258+""","=""320""","=""1.25e+07""",B+,"=""11858.498""","=""42087.533""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d5.(4G).5p""","=""y 3F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""331.2334""","=""""","=""331.23338+""","=""95""","=""1.62e+07""",B,"=""16692.905""","=""46874.412""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d5.(2D).5p""","=""w 3F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""332.3901""","=""""","=""332.39011+""","=""65""","=""4.0e+06""",B,"=""16784.522""","=""46861.000""","=""4d5.(4G).5s""","=""a 5G""","=""5""","=""4d5.(2I).5p""","=""z 3I*""","=""5""",11,11,,"=""T5293""","=""L10250""",
Mo,1,"=""332.3949""","=""""","=""332.39492+""","=""745""","=""2.82e+07""",B,"=""12346.280""","=""42422.323""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""w 5D*""","=""3""",9,7,,"=""T5293""","=""L10250""",
Mo,1,"=""332.5133""","=""""","=""332.51329+""","=""28""","=""2.26e+07""",B,"=""22875.942""","=""52941.278""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""65*""","=""1""",5,3,,"=""T5293""","=""L10250""",
Mo,1,"=""332.5673""","=""""","=""332.56735+""","=""360""","=""1.72e+07""",B+,"=""10768.332""","=""40828.781""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d5.(4P).5p""","=""x 5D*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""332.7304""","=""""","=""332.73042+""","=""360""","=""2.88e+07""",B+,"=""10965.947""","=""41011.664""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d5.(4G).5p""","=""y 5F*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""333.6565""","=""""","=""333.65654+""","=""130""","=""1.64e+07""",B,"=""23516.476""","=""53478.799""","=""4d4.5s2""","=""a 3F""","=""4""","=""""","=""75*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
