element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,2,"=""""","=""680.217""","=""""","=""1.43e+03""",D,"=""174212.03""","=""188909.17""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.3d""","=""3P*""","=""1""",5,3,,"=""T7333""","=""""",
N,2,"=""""","=""680.998""","=""""","=""2.31e+07""",B,"=""188857.37""","=""203537.66""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3S""","=""1""",5,3,,"=""T6385n""","=""""",
N,3,"=""""","=""681.243""","=""""","=""6.42e+04""",B,"=""339855.5""","=""354530.5""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s2.6d""","=""2D""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,2,"=""""","=""682.623""","=""""","=""2.49e+04""",C+,"=""174212.03""","=""188857.37""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.3d""","=""3P*""","=""2""",5,5,,"=""T7333""","=""""",
N,2,"=""""","=""683.409""","=""""","=""1.63e+07""",B,"=""188909.17""","=""203537.66""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3S""","=""1""",3,3,,"=""T6385n""","=""""",
N,2,"=""""","=""684.723""","=""""","=""5.89e+06""",B,"=""188937.24""","=""203537.66""","=""2s2.2p.3d""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3S""","=""1""",1,3,,"=""T6385n""","=""""",
N,2,"=""""","=""685.703""","=""""","=""2.53e+07""",C+,"=""229838.96""","=""244418.52""","=""2s.2p2.(4P).3p""","=""5S*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""1""",5,3,,"=""T5520LS""","=""""",
N,2,"=""""","=""686.958""","=""""","=""2.51e+07""",C+,"=""229838.96""","=""244391.88""","=""2s.2p2.(4P).3p""","=""5S*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""2""",5,5,,"=""T5520LS""","=""""",
N,1,"=""""","=""688.4314""","=""""","=""2.90e+02""",C,"=""83284.070""","=""97805.840""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",2,4,,"=""T7370""","=""""",
N,2,"=""""","=""688.783""","=""""","=""2.49e+07""",C+,"=""229838.96""","=""244353.31""","=""2s.2p2.(4P).3p""","=""5S*""","=""2""","=""2s.2p2.(4P).3d""","=""5P""","=""3""",5,7,,"=""T5520LS""","=""""",
N,1,"=""""","=""690.0355""","=""""","=""1.27e+03""",C,"=""83317.830""","=""97805.840""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,4,,"=""T7370""","=""""",
N,1,"=""""","=""690.1261""","=""""","=""8.1e+01""",D,"=""83284.070""","=""97770.180""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",2,2,,"=""T7370""","=""""",
N,1,"=""""","=""691.7382""","=""""","=""8.7e+01""",C,"=""83317.830""","=""97770.180""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",4,2,,"=""T7370""","=""""",
N,1,"=""""","=""692.2713""","=""""","=""7.0e+02""",C,"=""83364.620""","=""97805.840""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",6,4,,"=""T7370""","=""""",
N,1,"=""""","=""692.6670""","=""""","=""7.75e+05""",B,"=""95493.690""","=""109926.661""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T6340n""","=""""",
N,2,"=""""","=""694.175""","=""""","=""2.81e+06""",B,"=""188857.37""","=""203258.98""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""2""",5,5,,"=""T6385n""","=""""",
N,1,"=""""","=""694.5177""","=""""","=""1.83e+06""",B,"=""95532.150""","=""109926.661""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",6,6,,"=""T6340n""","=""""",
N,1,"=""""","=""695.1600""","=""""","=""1.03e+06""",B,"=""95475.310""","=""109856.520""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",2,4,,"=""T6340n""","=""""",
N,1,"=""""","=""696.0496""","=""""","=""4.67e+05""",B,"=""95493.690""","=""109856.520""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T6340n""","=""""",
N,2,"=""""","=""696.681""","=""""","=""1.12e+06""",B,"=""188909.17""","=""203258.98""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""2""",3,5,,"=""T6385n""","=""""",
N,1,"=""""","=""697.3074""","=""""","=""3.83e+05""",B,"=""95475.310""","=""109812.233""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",2,2,,"=""T6340n""","=""""",
N,2,"=""""","=""697.356""","=""""","=""2.62e+06""",B,"=""206910.24""","=""221246.17""","=""2s2.2p.4p""","=""1S""","=""0""","=""2s2.2p.5d""","=""1P*""","=""1""",1,3,,"=""T5520""","=""""",
N,2,"=""""","=""697.563""","=""""","=""3.42e+06""",B,"=""188857.37""","=""203189.03""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3P""","=""1""",5,3,,"=""T6385n""","=""""",
N,1,"=""""","=""697.9185""","=""""","=""9.83e+05""",B,"=""95532.150""","=""109856.520""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",6,4,,"=""T6340n""","=""""",
N,1,"=""""","=""698.2025""","=""""","=""2.04e+06""",B,"=""95493.690""","=""109812.233""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T6340n""","=""""",
N,2,"=""""","=""700.094""","=""""","=""9.82e+04""",B,"=""188909.17""","=""203189.03""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""1""",3,3,,"=""T6385n""","=""""",
N,2,"=""""","=""701.398""","=""""","=""3.00e+06""",B,"=""188909.17""","=""203162.48""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3P""","=""0""",3,1,,"=""T6385n""","=""""",
N,2,"=""""","=""701.473""","=""""","=""5.83e+05""",B,"=""188937.24""","=""203189.03""","=""2s2.2p.3d""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3P""","=""1""",1,3,,"=""T6385n""","=""""",
