element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,1,"=""537.3863""","=""0.0007""","=""537.385366""","=""0.000023""","=""4700""","=""2.9e+05""",C,"=""2356.6756""","=""20960.1223""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""4""",7,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""538.9336""","=""0.0007""","=""538.93307""","=""0.00003""","=""1500""","=""1.27e+06""",C+,"=""8983.7652""","=""27533.7873""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""1""",5,3,,"=""T5346""","=""L16323""",
Hf,1,"=""550.3294""","=""0.0007""","=""550.32909""","=""0.00003""","=""280""","=""4.e+04""",E,"=""8983.7652""","=""27149.6642""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""2""",5,5,,"=""T5346""","=""L16323""",
Hf,1,"=""553.8275""","=""0.0007""","=""553.82732""","=""0.00003""","=""2100""","=""3.0e+05""",C,"=""10532.5690""","=""28583.7248""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",9,7,,"=""T5346""","=""L16323""",
Hf,1,"=""555.0610""","=""0.0011""","=""555.06011""","=""0.00003""","=""14000""","=""6.20e+05""",B,"=""0.0000""","=""18011.0647""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""555.2128""","=""0.0007""","=""555.211884""","=""0.000025""","=""14000""","=""1.37e+06""",B,"=""5638.6151""","=""23644.7563""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1F*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""571.9175""","=""0.0007""","=""571.91718""","=""0.00003""","=""7300""","=""4.9e+06""",C+,"=""8983.7652""","=""26463.9649""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""577.1397""","=""0.0007""","=""577.13906""","=""0.00003""","=""180""","=""1.3e+04""",E,"=""8983.7652""","=""26305.8081""","=""5d2.6s2""","=""a 3P""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""",5,7,,"=""T5346""","=""L16323""",
Hf,1,"=""583.8896""","=""0.0007""","=""583.88925""","=""0.00004""","=""450""","=""8.9e+04""",D+,"=""10532.5690""","=""27654.3580""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""3""",9,7,,"=""T5346""","=""L16323""",
Hf,1,"=""588.6310""","=""0.0011""","=""588.63148""","=""0.00005""","=""330""","=""4.8e+04""",C+,"=""10532.5690""","=""27516.4201""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""",9,9,,"=""T5346""","=""L16323""",
Hf,1,"=""594.6524""","=""0.0010""","=""594.65071""","=""0.00003""","=""73""","=""4.e+03""",E,"=""5638.6151""","=""22450.5521""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""",5,5,,"=""T5346""","=""L16323""",
