element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""""","=""291.5376238""","=""0.0000021""","=""""","=""6.9551e+06""",AA,"=""(925937.52429)""","=""(960228.374000)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5389361""","=""0.0000021""","=""""","=""1.9379e+07""",AA,"=""(925936.294951)""","=""(960226.990320)""","=""4p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5395492""","=""0.0000021""","=""""","=""7.6431e+06""",AA,"=""(925936.28876)""","=""(960226.912020)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5403701""","=""0.0000021""","=""""","=""1.1128e+08""",AA,"=""(925938.13979)""","=""(960228.666503)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",8,10,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5407117""","=""0.0000021""","=""""","=""1.7397e+06""",AA,"=""(925937.52206)""","=""(960228.00859)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",6,4,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5407148""","=""0.0000021""","=""""","=""6.8732e+06""",AA,"=""(925937.52429)""","=""(960228.010455)""","=""4d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5413038""","=""0.0000021""","=""""","=""3.9741e+06""",AA,"=""(925938.13979)""","=""(960228.556687)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",8,8,,"=""T7771""","=""""",
Li,3,"=""""","=""291.5428514""","=""0.0000021""","=""""","=""1.6564e+06""",AA,"=""(925938.13979)""","=""(960228.37467)""","=""4f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",8,6,,"=""T7771""","=""""",
Li,2,"=""""","=""295.410""","=""0.020""","=""""","=""2.0309e+07""",AAA,"=""[558777.01]""","=""[592618.4]""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""296.3279""","=""0.0016""","=""""","=""1.1383e+02""",AAA,"=""[558777.01]""","=""[592513.56]""","=""1s.3s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""302.908""","=""0.014""","=""""","=""4.1793e+07""",AAA,"=""[559499.5]""","=""[592503.22]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
Li,2,"=""302.912""","=""302.912""","=""0.014""","=""3*""","=""2.3222e+07""",AAA,"=""[559499.5]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""302.912""","=""302.912""","=""0.007""","=""3*""","=""5.5732e+07""",AAA,"=""[559500.55]""","=""[592503.88]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""302.914""","=""302.918""","=""0.007""","=""3""","=""1.3932e+07""",AAA,"=""[559500.55]""","=""[592503.22]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""302.921""","=""0.008""","=""""","=""1.5481e+06""",AAA,"=""[559500.55]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""302.929""","=""0.003""","=""""","=""3.0962e+07""",AAA,"=""[559501.45]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""315.531""","=""315.526""","=""0.015""","=""3""","=""1.0709e+07""",AAA,"=""[559499.5]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""315.533""","=""315.537""","=""0.008""","=""4""","=""1.7850e+07""",AAA,"=""[559500.55]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""315.546""","=""0.003""","=""""","=""3.5700e+06""",AAA,"=""[559501.45]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""318.931""","=""0.023""","=""""","=""2.0088e+06""",AAA,"=""[561272.75]""","=""[592618.4]""","=""1s.3d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""319.6216""","=""0.0014""","=""""","=""1.312e+07""",AA,"=""[561242.28]""","=""[592520.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
Li,2,"=""319.626""","=""319.6318""","=""0.0014""","=""1*""","=""5.1903e+07""",AAA,"=""[561242.28]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""319.626""","=""319.6318""","=""0.0014""","=""1*""","=""1.1374e+07""",AAA,"=""[561242.28]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""319.6279""","=""0.0014""","=""""","=""1.773e+06""",AA,"=""[561242.90]""","=""[592520.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""7.3144e+07""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""L3501""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""3.2509e+05""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""6.3543e+06""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""319.636""","=""319.6435""","=""0.0023""","=""4""","=""6.1443e+07""",AAA,"=""[561243.43]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""1""","=""1s.5f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""319.933""","=""319.9332""","=""0.0014""","=""5""","=""5.8056e+07""",AAA,"=""[561272.75]""","=""[592520.24]""","=""1s.3d""","=""1D""","=""2""","=""1s.5f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
