element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,3,"=""""","=""205.762""","=""""","=""1.31e+06""",D,"=""366595.76""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""1""",5,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""205.762""","=""""","=""5.85e+05""",D,"=""366595.76""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""3""",5,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""206.642""","=""""","=""4.61e+06""",C,"=""366802.62""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).6d""","=""3D*""","=""3""",7,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""206.642""","=""""","=""8.09e+05""",D,"=""366802.62""","=""415180""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",7,5,,"=""T5376LS""","=""""",
O,2,"=""207.22""","=""207.2255""","=""12bl""","=""3.30e+06""",C+,"=""165988.46""","=""214229.671""","=""2s.2p4""","=""2D""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",6,4,,"=""T6172n""","=""L10549""",
O,2,"=""207.2601""","=""207.2601""","=""5""","=""3.61e+05""",C+,"=""165996.50""","=""214229.671""","=""2s.2p4""","=""2D""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,4,,"=""T6172n""","=""L10549""",
O,2,"=""207.5169""","=""207.5172""","=""12""","=""3.55e+06""",C+,"=""165996.50""","=""214169.920""","=""2s.2p4""","=""2D""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",4,2,,"=""T6172n""","=""L10549""",
O,2,"=""209.2876""","=""209.2876""","=""10""","=""6.69e+06""",C,"=""211522.117""","=""259288.07""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""L10549""",
O,2,"=""""","=""209.2896""","=""""","=""4.96e+05""",D,"=""211522.117""","=""259287.61""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""L11267""",
O,2,"=""""","=""210.1263""","=""""","=""7.35e+05""",D,"=""211712.732""","=""259288.07""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""L11267""",
O,2,"=""210.1283""","=""210.1283""","=""12""","=""6.86e+06""",C,"=""211712.732""","=""259287.61""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""L10549""",
O,2,"=""""","=""211.1198""","=""""","=""1.08e+05""",E,"=""228723.84""","=""276075.32""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""211.2251""","=""""","=""2.15e+06""",D,"=""228747.45""","=""276075.32""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",8,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""211.5280""","=""""","=""2.25e+06""",D,"=""228723.84""","=""275983.95""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""""",
O,2,"=""212.3202""","=""212.3182""","=""8""","=""5.00e+06""",C,"=""211522.117""","=""258606.35""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",4,4,,"=""T5723LS""","=""L10549""",
O,2,"=""213.1818""","=""213.1813""","=""12""","=""4.45e+07""",C,"=""211712.732""","=""258606.35""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",6,4,,"=""T5723LS""","=""L10549""",
O,2,"=""213.1997""","=""213.2017""","=""10""","=""4.94e+07""",C,"=""211522.117""","=""258411.26""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",4,2,,"=""T5723LS""","=""L10549""",
O,3,"=""""","=""215.3304""","=""""","=""9.49e+04""",C,"=""267377.11""","=""313802.77""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""1S""","=""0""",3,1,,"=""u24""","=""""",
O,3,"=""""","=""216.5390""","=""""","=""1.68e+07""",C+,"=""324735.65""","=""370902.22""","=""2s2.2p.(2P*).3d""","=""1D*""","=""2""","=""2s2.2p.(2P*).4p""","=""1D""","=""2""",5,5,,"=""T5376""","=""""",
O,2,"=""""","=""217.051""","=""""","=""3.67e+04""",E,"=""228723.84""","=""274781.5""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",6,8,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.162""","=""""","=""9.91e+05""",D,"=""228747.45""","=""274781.5""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",8,8,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.2206""","=""""","=""7.59e+05""",C,"=""206971.68""","=""252993.39""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",6,4,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.2256""","=""""","=""8.43e+04""",D,"=""206972.72""","=""252993.39""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",4,4,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.244""","=""""","=""9.77e+05""",D,"=""228723.84""","=""274740.7""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",6,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.2546""","=""""","=""8.43e+05""",D,"=""206972.72""","=""252987.23""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""",4,2,,"=""T5723LS""","=""""",
O,2,"=""""","=""217.355""","=""""","=""4.88e+04""",E,"=""228747.45""","=""274740.7""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",8,6,,"=""T5723LS""","=""""",
O,3,"=""""","=""218.1571""","=""""","=""4.40e+05""",C,"=""283759.70""","=""329583.89""","=""2p4""","=""3P""","=""2""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",5,3,,"=""T5376,T5791,LS""","=""""",
