element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,2,"=""410.322""","=""""","=""410.3213""","=""170""","=""8.5e+07""",C,"=""207699.07""","=""232063.34""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""",3,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""410.351""","=""""","=""410.3506""","=""200""","=""2.05e+08""",C,"=""207703.79""","=""232066.32""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""",5,7,,"=""T1115CA,LS""","=""L369""",
F,2,"=""410.371""","=""""","=""410.3713""","=""180""","=""1.14e+08""",C,"=""207702.04""","=""232063.34""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""",1,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""410.387""","=""""","=""410.3870""","=""170""","=""5.1e+07""",C,"=""207703.79""","=""232064.16""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""",5,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""410.4008""","=""""","=""5.7e+06""",C,"=""207703.79""","=""232063.34""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""",5,3,,"=""T1115CA,LS""","=""""",
F,2,"=""410.916""","=""""","=""410.9160""","=""170""","=""1.6e+08""",D,"=""211866.13""","=""236195.14""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",7,7,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""411.2720""","=""""","=""2.0e+07""",D,"=""211887.19""","=""236195.14""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",5,7,,"=""T1115CA,LS""","=""""",
F,2,"=""""","=""""","=""411.2969""","=""""","=""2.8e+07""",D,"=""211866.13""","=""236172.61""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",7,5,,"=""T1115CA,LS""","=""""",
F,2,"=""411.654""","=""""","=""411.6535""","=""160""","=""1.2e+08""",D,"=""211887.19""","=""236172.61""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",5,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""""","=""""","=""411.6990""","=""""","=""4.5e+07""",D,"=""211887.19""","=""236169.93""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",5,3,,"=""T1115CA,LS""","=""""",
