element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,1,"=""705.727""","=""705.72633+""","=""10""","=""1.60e+06""",D,"=""94092.8626""","=""108258.7553""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""T3774n,T7227,u41""","=""L7408""",
Kr,1,"=""714.345""","=""714.3448+""","=""8""","=""7.7e+04""",D,"=""91168.5150""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",3,5,,"=""T3774n,u41""","=""L7408""",
Kr,1,"=""715.221""","=""715.222+""","=""5*""","=""3.32e+05""",C,"=""91168.5150""","=""105146.33""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",3,3,,"=""T3408n,T7199,T3378""","=""L7408""",
Kr,1,"=""722.4103""","=""722.4106+""","=""100""","=""2.98e+06""",C+,"=""91168.5150""","=""105007.245""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",3,5,,"=""T3408n,T7199,T3378""","=""L7292""",
Kr,1,"=""728.7262""","=""728.7259+""","=""80""","=""2.97e+06""",D+,"=""91168.5150""","=""104887.315""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,3,,"=""T3774n,u41""","=""L7408""",
Kr,1,"=""735.996""","=""735.99612+""","=""5""","=""7.8e+05""",D,"=""94092.8626""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",1,3,,"=""T3774n,T3384,T7227,u41""","=""L7408""",
Kr,2,"=""740.706""","=""740.705+""","=""400h""","=""7.0e+06""",D,"=""120426.93""","=""133923.859""","=""4s2.4p4.(3P).4d""","=""4D""","=""5/2""","=""4s2.4p4.(3P).5p""","=""4P*""","=""5/2""",6,6,,"=""T3408""","=""L8549""",
Kr,1,"=""742.554""","=""742.55417+""","=""60""","=""2.55e+06""",D+,"=""92307.3786""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",5,3,,"=""T3600n,T7227,u41""","=""L7408""",
Kr,1,"=""748.6862""","=""748.68627+""","=""100""","=""2.89e+06""",C+,"=""92294.4012""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",7,5,,"=""T3600n,T3408,T7199""","=""L7292""",
Kr,1,"=""749.415""","=""749.41460+""","=""30""","=""6.1e+05""",D+,"=""92307.3786""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",5,5,,"=""T3600n,T3408,T7199""","=""L7408""",
Kr,1,"=""758.74136""","=""758.74134+""","=""1000""","=""4.310e+07""",A+,"=""80916.7680""","=""94092.8626""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,"=""T7199""","=""L11281""",
Kr,1,"=""760.15457""","=""760.15454+""","=""2000""","=""2.732e+07""",AA,"=""79971.7417""","=""93123.3409""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,5,,"=""T7199""","=""L11281""",
Kr,1,"=""768.52459""","=""768.52458+""","=""400""","=""4.064e+07""",AA,"=""85846.7046""","=""98855.0698""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",3,1,,"=""T7199""","=""L11281""",
Kr,1,"=""769.45401""","=""769.45399+""","=""500""","=""4.27e+06""",A,"=""79971.7417""","=""92964.3943""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",5,3,,"=""T7199""","=""L11281""",
Kr,1,"=""774.137""","=""774.1359+""","=""10""","=""4.6e+05""",D+,"=""92294.4012""","=""105208.476""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",7,7,,"=""T3774n,u41""","=""L7408""",
Kr,1,"=""774.6828""","=""774.6829+""","=""50""","=""1.18e+07""",C+,"=""91168.5150""","=""104073.471""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",3,1,,"=""T3774n,T7008""","=""L7292""",
Kr,1,"=""774.916""","=""774.9146+""","=""3""","=""9.2e+04""",D,"=""92307.3786""","=""105208.476""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",5,7,,"=""T3774n,u41""","=""L6099""",
Kr,1,"=""776.843""","=""776.8415+""","=""5""","=""1.03e+05""",D,"=""92294.4012""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",7,5,,"=""T3774n,u41""","=""L6099""",
Kr,1,"=""777.628""","=""777.6257+""","=""40""","=""8.8e+05""",D+,"=""92307.3786""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",5,5,,"=""T3774n,u41""","=""L6099""",
Kr,1,"=""780.652""","=""780.65043+""","=""50""","=""2.25e+06""",D+,"=""92964.3943""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",3,3,,"=""T3600n,T7227,u41""","=""L6099""",
