element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,1,"=""461.1056""","=""0.002""","=""461.10442""","=""0.00003""","=""4""","=""2.0e+05""",D,"=""23933.8561""","=""45614.8444""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",9,9,,"=""T2268""","=""L808""",
Cr,1,"=""461.19620""","=""0.00006""","=""461.19622""","=""0.00005""","=""32""","=""8.0e+06""",D,"=""27163.1052""","=""48839.778""","=""3d5.(4P).4s""","=""b 3P""","=""0""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""1""",1,3,,"=""T3963""","=""L14866""",
Cr,1,"=""461.33573""","=""0.00005""","=""461.335727""","=""0.000017""","=""590""","=""2.2e+06""",B,"=""7750.7465""","=""29420.8645""","=""3d4.4s2""","=""a 5D""","=""0""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",1,3,,"=""T4624,T4913""","=""L14866""",
Cr,1,"=""461.45106""","=""0.00006""","=""461.45110""","=""0.00004""","=""45""","=""5.7e+06""",D,"=""31055.2777""","=""52719.978""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""3G*""","=""4""",11,9,,"=""T3963""","=""L14866""",
Cr,1,"=""461.61240""","=""0.00005""","=""461.612404""","=""0.000011""","=""1360""","=""4.1e+06""",B,"=""7927.4410""","=""29584.5708""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",5,5,,"=""T4624,T4913""","=""L14866""",
Cr,2,"=""461.662424""","=""0.000015""","=""461.662412""","=""0.000021""","=""80""","=""4.0e+06""",D,"=""32844.7068""","=""54499.4907""","=""3d5""","=""b 4F""","=""3/2""","=""3d4.(5D).4p""","=""z 4D*""","=""3/2""",4,4,,"=""T4502""","=""L18847""",
Cr,1,"=""461.737""","=""0.003""","=""461.73701""","=""0.00003""","=""2""","=""5.1e+04""",D,"=""24056.0404""","=""45707.3259""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""y 5H*""","=""6""",11,13,,"=""T2268""","=""L808""",
Cr,2,"=""461.880671""","=""0.000013""","=""461.880680""","=""0.000019""","=""240""","=""6.1e+06""",D,"=""32854.9399""","=""54499.4907""","=""3d5""","=""b 4F""","=""5/2""","=""3d4.(5D).4p""","=""z 4D*""","=""3/2""",6,4,,"=""T3963n""","=""L18847""",
Cr,1,"=""461.95328""","=""0.00005""","=""461.953289""","=""0.000021""","=""190""","=""1.6e+07""",D,"=""24093.1182""","=""45734.2670""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4P).4p""","=""y 3P*""","=""2""",5,5,,"=""T3963""","=""L14866""",
Cr,1,"=""462.24491""","=""0.00006""","=""462.24492""","=""0.00004""","=""83""","=""4.1e+07""",D,"=""28636.9634""","=""50264.4589""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""w 3D*""","=""3""",7,7,,"=""T4288""","=""L14866""",
Cr,1,"=""462.27475""","=""0.00006""","=""462.27478""","=""0.00004""","=""71""","=""1.1e+07""",D,"=""24093.1182""","=""45719.2168""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4P).4p""","=""y 3P*""","=""1""",5,3,,"=""T4288""","=""L14866""",
Cr,1,"=""462.59217""","=""0.00005""","=""462.59220""","=""0.00004""","=""89""","=""1.2e+07""",D,"=""31049.2155""","=""52660.475""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""y 3I*""","=""6""",13,13,,"=""T4288""","=""L14866""",
Cr,1,"=""462.61734""","=""0.00005""","=""462.617342""","=""0.000015""","=""1100""","=""5.0e+06""",B,"=""7810.7795""","=""29420.8645""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",3,3,,"=""T4624,T4913""","=""L14866""",
Cr,1,"=""462.84607""","=""0.00018""","=""462.84595""","=""0.00004""","=""5""","=""1.2e+06""",D,"=""25359.6141""","=""46959.0255""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""5""",9,11,,"=""T4288""","=""L14866""",
Cr,1,"=""463.32548""","=""0.00012""","=""463.32553""","=""0.00004""","=""13""","=""2.0e+06""",D,"=""25205.9980""","=""46783.0528""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d4.4s.5s""","=""f 7D""","=""4""",7,9,,"=""T4288""","=""L14866""",
Cr,2,"=""463.407286""","=""0.000013""","=""463.407286""","=""0.000022""","=""170""","=""8.9e+06""",D,"=""32844.7068""","=""54417.9549""","=""3d5""","=""b 4F""","=""3/2""","=""3d4.(5D).4p""","=""z 4D*""","=""1/2""",4,2,,"=""T3963n""","=""L18847""",
Cr,1,"=""463.95071""","=""0.00008""","=""463.95068""","=""0.00004""","=""22""","=""9.5e+06""",D,"=""25089.2497""","=""46637.2307""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d4.4s.5s""","=""f 7D""","=""3""",5,7,,"=""T1621n""","=""L14866""",
Cr,1,"=""463.96675""","=""0.00016""","=""463.96691""","=""0.00006""","=""7""","=""7.7e+06""",D,"=""28636.9634""","=""50184.191""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",7,5,,"=""T3963""","=""L14866""",
