element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""205.8031""","=""205.80318""","=""600""","=""2.73e+07""",,"=""56437.77""","=""105012.34""","=""4d.5p""","=""3D*""","=""2""","=""4d.(2D<3/2>).6s""","=""2[3/2]""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""205.8663""","=""205.86634""","=""125000""","=""9.28e+07""",,"=""56077.32""","=""104636.99""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""3G""","=""3""",7,7,,"=""T6869""","=""L9267""",
Zr,3,"=""205.8936""","=""205.89335""","=""25""","=""2.30e+06""",,"=""55557.60""","=""104110.90""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""3D""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""206.0821""","=""206.08187""","=""400000""","=""4.89e+07""",,"=""8839.97""","=""57348.86""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""3D*""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""206.1413""","=""206.14078""","=""5000""","=""2.45e+08""",,"=""55615.87""","=""104110.90""","=""4d.5p""","=""3D*""","=""1""","=""4d.5d""","=""3D""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""206.1461""","=""206.1478""","=""2000""","=""5.19e+08""",,"=""80106.91""","=""128600.30""","=""5s.5p""","=""3P*""","=""1""","=""5p2""","=""3P""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""207.0359""","=""207.0359""","=""750000""","=""1.30e+09""",,"=""57684.12""","=""105969.50""","=""4d.5p""","=""3F*""","=""4""","=""4d.5d""","=""3G""","=""5""",9,11,,"=""T6869""","=""L9267""",
Zr,3,"=""207.4061""","=""207.40608""","=""200000""","=""2.23e+08""",,"=""56437.77""","=""104636.99""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3G""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""207.7898""","=""207.78796""","=""400000""","=""4.98e+07""",,"=""8327.12""","=""56437.77""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3D*""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""207.7898""","=""207.7924""","=""400000""","=""7.46e+08""",,"=""55615.87""","=""103725.49""","=""4d.5p""","=""3D*""","=""1""","=""4d.5d""","=""3D""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""208.0916""","=""208.0917""","=""350000""","=""1.43e+09""",,"=""62590.70""","=""110631.13""","=""4d.5p""","=""1F*""","=""3""","=""4d.5d""","=""1G""","=""4""",7,9,,"=""T6869""","=""L9267""",
