element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mg,3,"=""249.0534""","=""249.0535""","=""10""","=""1.61e+08""",B+,"=""496012.1""","=""536152.0""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.3d""","=""1P*""","=""1""",1,3,,"=""c48""","=""L1434""",
Mg,3,"=""252.9190""","=""252.9194""","=""10""","=""1.89e+07""",B+,"=""427852.1""","=""467378.5""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3S""","=""1""",1,3,,"=""c46""","=""L1434""",
Mg,2,"=""""","=""258.2019""","=""""","=""8.28e+05""",C+,"=""71490.19""","=""110207.99""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.7p""","=""2P*""","=""3/2""",6,4,,"=""c31""","=""""",
Mg,2,"=""""","=""258.2077""","=""""","=""9.23e+04""",C,"=""71491.06""","=""110207.99""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.7p""","=""2P*""","=""3/2""",4,4,,"=""c31""","=""""",
Mg,2,"=""""","=""258.2371""","=""""","=""9.09e+05""",C+,"=""71491.06""","=""110203.58""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.7p""","=""2P*""","=""1/2""",4,2,,"=""c31""","=""""",
Mg,3,"=""261.8011""","=""261.8007""","=""7""","=""8.72e+07""",B,"=""496012.1""","=""534197.7""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.3d""","=""3D*""","=""1""",1,3,,"=""T6036""","=""L1434""",
Mg,2,"=""266.0755""","=""266.0754""","=""8""","=""3.81e+07""",A,"=""71490.19""","=""109062.35""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.6f""","=""2F*""","=""7/2""",6,8,,"=""c31""","=""L6095""",
Mg,2,"=""""","=""266.0756""","=""""","=""2.54e+06""",B+,"=""71490.19""","=""109062.32""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.6f""","=""2F*""","=""5/2""",6,6,,"=""c31""","=""""",
Mg,2,"=""266.0817""","=""266.0817""","=""8""","=""3.56e+07""",A,"=""71491.06""","=""109062.32""","=""2p6.3d""","=""2D""","=""3/2""","=""2p6.6f""","=""2F*""","=""5/2""",4,6,,"=""c31""","=""L6095""",
Mg,1,"=""273.1993""","=""273.19940""","=""8""","=""6.97e+06""",D+,"=""21850.405""","=""58442.874""","=""3s.3p""","=""3P*""","=""0""","=""3s.6d""","=""3D""","=""1""",1,3,,"=""T6298c72,LS""","=""L6095""",
Mg,1,"=""""","=""273.34925""","=""""","=""5.21e+06""",D,"=""21870.464""","=""58442.874""","=""3s.3p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""1""",3,3,,"=""T6298c72,LS""","=""""",
