element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""183.143328""","=""0.000019""","=""183.143330""","=""0.000017""","=""29000""","=""3.3e+08""",C+,"=""71875.0920""","=""126477.135""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""",12,14,,"=""u37""","=""L19543c139""",
Co,3,"=""183.14843""","=""0.00021""","=""183.14868""","=""0.00023""","=""360bl(Ne)""","=""3.2e+07""",D+,"=""72271.872""","=""126872.32""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",8,6,,"=""u37""","=""L19543c139,c153""",
Co,2,"=""183.18871""","=""0.00004""","=""183.188770""","=""0.000010""","=""6500""","=""4.1e+06""",D,"=""9812.860""","=""64401.359""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(2G).4p""","=""z 1G*""","=""4""",9,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""183.190946""","=""0.000021""","=""183.190948""","=""0.000020""","=""11000""","=""3.7e+08""",C+,"=""56373.944""","=""110961.794""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D).4p""","=""z 4P*""","=""3/2""",6,4,,"=""u37""","=""L19543c139""",
Co,3,"=""183.21959""","=""0.00004""","=""183.21957""","=""0.00003""","=""6000""","=""2.9e+08""",C+,"=""76520.408""","=""131099.731""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""183.2771""","=""0.0005""","=""183.27862""","=""0.00007""","=""170""","=""1.7e+07""",D+,"=""73863.028""","=""128424.767""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",4,4,,"=""u37""","=""L19543c140""",
Co,2,"=""183.3287""","=""0.0009""","=""183.327500""","=""0.000020""","=""1500""","=""1.3e+06""",E,"=""9812.860""","=""64360.050""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(2G).4p""","=""y 3F*""","=""3""",9,7,,"=""T6999""","=""L4687c119""",
Co,2,"=""183.36836""","=""0.00008""","=""183.368314""","=""0.000020""","=""1800""","=""4.9e+06""",D,"=""13404.321""","=""67939.370""","=""3d8""","=""a 3P""","=""1""","=""3d7.(2P).4p""","=""x 3D*""","=""2""",3,5,,"=""T6999""","=""L9429c118""",
Co,3,"=""183.38667""","=""0.00008""","=""183.38667""","=""0.00008""","=""4400""","=""6.1e+08""",C+,"=""116390.35""","=""170919.94""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(1G1).4p""","=""v 2H*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,2,"=""183.46404""","=""0.00004""","=""183.463980""","=""0.000020""","=""3100""","=""1.8e+07""",D,"=""13404.321""","=""67910.933""","=""3d8""","=""a 3P""","=""1""","=""3d7.(2P).4p""","=""1S*""","=""0""",3,1,,"=""T6999""","=""L9429c118""",
Co,3,"=""""","=""""","=""183.4645""","=""0.0006""","=""""","=""1.24e+01""",C,"=""1867.50""","=""56373.944""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""",4,6,E2,"=""u37""","=""""",
Co,3,"=""183.48303""","=""0.00003""","=""183.48302""","=""0.00003""","=""3800""","=""2.7e+08""",C+,"=""77384.2947""","=""131885.250""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""183.499539""","=""0.000019""","=""183.499538""","=""0.000020""","=""55000""","=""6.3e+08""",C+,"=""71624.293""","=""126120.343""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4I*""","=""15/2""",14,16,,"=""u37""","=""L19543c139""",
Co,3,"=""183.52500""","=""0.00003""","=""183.52498""","=""0.00003""","=""3900""","=""3.0e+08""",C,"=""56794.941""","=""111283.436""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""",4,2,,"=""u37""","=""L19543c139""",
Co,3,"=""183.56107""","=""0.00004""","=""183.56108""","=""0.00004""","=""4500""","=""1.7e+08""",C+,"=""73541.580""","=""128019.360""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""183.56774""","=""0.00012""","=""183.56772""","=""0.00003""","=""710""","=""2.7e+07""",D+,"=""77412.954""","=""131888.762""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,2,"=""183.59501""","=""0.00003""","=""183.595078""","=""0.000024""","=""930""","=""1.5e+08""",D,"=""41738.15""","=""96205.841""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4F).5p""","=""5D*""","=""2""",5,5,,"=""T6999""","=""L9429c118""",
Co,2,"=""183.59975""","=""0.00006""","=""183.599666""","=""0.000010""","=""1700""","=""2.0e+06""",E,"=""10708.331""","=""65174.661""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(2G).4p""","=""y 3G*""","=""3""",7,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""183.61935""","=""0.00003""","=""183.61959""","=""0.00005""","=""8400*""","=""2.9e+08""",C+,"=""77122.520""","=""131582.939""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",10,8,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""183.61935""","=""0.00003""","=""183.6205""","=""0.0005""","=""8400*""","=""3.3e+08""",C+,"=""86328.378""","=""140788.54""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""",8,6,,"=""u37""","=""L19543c139,c153""",
Co,2,"=""183.75559""","=""0.00008""","=""183.755742""","=""0.000017""","=""740""","=""4.e+06""",E,"=""13404.321""","=""67824.389""","=""3d8""","=""a 3P""","=""1""","=""3d7.(2P).4p""","=""x 3D*""","=""1""",3,3,,"=""T6999""","=""L9429c118""",
